,errors
0,"['IVR', 'KeyError', KeyError(2008), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
1,"['PMT', 'KeyError', KeyError(2008), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
2,"['GSM', 'KeyError', KeyError(2008), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
3,"['AVGO', 'KeyError', KeyError(2008), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
4,"['EM', 'KeyError', KeyError(2008), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
5,"['BSBR', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
6,"['OMER', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
7,"['GTEC', 'KeyError', KeyError(2008), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
8,"['ANTH', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
9,"['AVEO', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
10,"['FIBK', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
11,"['PRI', 'KeyError', KeyError('grossprofit'), [""File : soneprocess.py , Line : 80, Func.Name : parse_helper, Message : ret['grossprofit']=rowvalues['grossprofit']""]]"
12,"['MUSA', 'KeyError', KeyError(2009), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
13,"['ALIM', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
14,"['ONE', 'KeyError', KeyError(2009), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
15,"['HPP', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
16,"['GDOT', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
17,"['BKU', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
18,"['BCDS', 'KeyError', KeyError(2010), ['File : soneprocess.py , Line : 90, Func.Name : parse_helper, Message : revenue_growth = (revenue[ipo_year] - revenue[ipo_year-1]) / revenue[ipo_year-1]']]"
19,"['APO', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
20,"['CLVS', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
21,"['VSTM', 'KeyError', KeyError('totalrevenue'), [""File : soneprocess.py , Line : 75, Func.Name : parse_helper, Message : revenue[ipo_year-1] = rowvalues['totalrevenue']""]]"
22,"['RM', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
23,"['MACK', 'KeyError', KeyError('costofrevenue'), [""File : soneprocess.py , Line : 83, Func.Name : parse_helper, Message : ret['costofrevenue']=rowvalues['costofrevenue']""]]"
24,"['CG', 'KeyError', KeyError('ebit'), ['File : soneprocess.py , Line : 79, Func.Name : parse_helper, Message : ret[""ebit""] =  rowvalues[""ebit""]']]"
