,index
0,8
1,11
2,12
3,14
4,16
5,28
6,29
7,47
8,56
9,58
10,62
11,66
12,68
13,77
14,97
15,101
16,112
17,134
18,135
19,144
20,155
21,172
22,184
23,186
24,192
25,193
26,194
27,210
28,221
29,222
30,225
31,226
32,231
33,237
34,241
35,258
36,261
37,265
38,270
39,275
40,282
41,284
42,298
43,299
44,306
45,307
46,312
47,316
48,317
49,327
50,334
51,335
52,342
53,350
54,351
55,360
56,368
57,374
58,377
59,380
60,387
61,391
62,402
63,406
64,412
65,424
66,430
67,437
68,445
69,459
70,460
71,465
72,471
73,474
74,477
75,480
76,483
77,485
78,488
79,490
80,492
81,494
82,503
83,505
84,506
85,514
86,515
87,523
88,532
89,534
90,540
91,548
92,549
93,551
94,553
95,556
96,559
97,561
98,562
99,564
100,565
101,566
102,578
103,580
104,587
105,589
106,590
107,593
108,594
109,595
110,596
111,599
112,601
113,604
114,606
115,611
116,612
117,614
118,616
119,623
120,625
121,629
122,630
123,632
124,635
125,636
126,637
127,638
128,639
129,642
130,653
131,655
132,657
133,662
134,665
135,668
136,682
137,686
138,688
139,689
140,695
141,697
142,703
143,704
144,710
145,711
146,718
147,719
148,722
149,723
150,724
151,726
152,727
153,731
154,735
155,736
156,740
157,746
158,748
159,754
160,755
161,758
162,760
163,763
164,764
165,765
166,770
167,771
168,773
169,774
170,778
171,783
172,784
173,785
174,786
175,787
176,789
177,796
178,799
179,800
180,801
181,802
182,803
183,804
184,805
185,807
186,809
187,810
188,817
189,821
190,826
191,829
192,834
193,835
194,836
195,840
196,842
197,843
198,849
199,851
200,852
201,853
202,855
203,857
204,859
205,860
206,861
207,862
208,865
209,867
210,868
211,871
212,876
213,878
214,879
215,882
216,885
217,889
218,891
219,894
220,895
221,896
222,897
223,900
224,904
225,905
226,907
227,908
228,909
229,910
230,911
231,912
232,913
233,916
234,921
235,926
236,927
237,930
238,931
239,935
240,936
241,940
242,947
243,955
244,956
245,958
246,959
247,962
248,963
249,964
250,966
251,968
252,971
253,974
254,976
255,978
256,983
257,984
258,985
259,986
260,989
261,990
262,992
263,995
264,996
265,997
266,1001
267,1002
268,1003
269,1006
270,1008
271,1014
272,1015
273,1016
274,1017
275,1019
276,1020
277,1027
278,1030
279,1032
280,1033
281,1038
282,1039
283,1040
284,1041
285,1047
286,1049
287,1050
288,1053
289,1056
290,1058
291,1059
292,1064
293,1065
294,1066
295,1068
296,1069
297,1071
298,1072
299,1075
300,1076
