,index
0,23
1,29
2,45
3,83
4,131
5,162
6,173
7,175
8,176
9,177
10,178
11,179
12,180
13,181
14,182
15,183
16,184
17,185
18,186
19,187
20,188
21,189
22,190
23,191
24,192
25,193
26,194
27,205
28,206
29,208
30,210
31,225
32,226
33,246
34,283
35,306
36,312
37,367
38,387
39,412
40,428
41,441
42,442
43,443
