,company_name
0,Territorial Bancorp Inc.
1,Worry Free Tea House Holdings Company
2,"Poage Bankshares, Inc."
3,"BSB Bancorp, Inc."
4,"FS Bancorp, Inc."
5,"Santander Mexico Financial Group, S.A.B. de C.V."
6,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V."
7,Avianca Holdings S.A.
8,Innocoll AG
9,"Co-Diagnostics, Inc."
10,Spotify Technology S.A.
11,MorphoSys AG
12,"Asana, Inc."
13,Palantir Technologies Inc.
