,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href
0,Mead Johnson Nutrition CO,MJN,New York Stock Exchange,24.0,"30,000,000","$720,000,000",2009-02-11,/market-activity/ipos/overview?dealId=794428-59950
1,"NIVS IntelliMedia Technology Group, Inc.",NIV,New York Stock Exchange,3.5,"550,000","$1,925,000",2009-03-13,/market-activity/ipos/overview?dealId=749089-59129
2,Changyou.com Ltd,CYOU,Nasdaq National Market,16.0,"7,500,000","$120,000,000",2009-04-02,/market-activity/ipos/overview?dealId=800114-60596
3,Zovio Inc,ZVO,New York Stock Exchange,10.5,"13,500,000","$141,750,000",2009-04-15,/market-activity/ipos/overview?dealId=651558-59992
4,ROSETTA STONE INC,RST,New York Stock Exchange,18.0,"6,250,000","$112,500,000",2009-04-16,/market-activity/ipos/overview?dealId=697501-59357
5,OFFICE PROPERTIES INCOME TRUST,GOV,New York Stock Exchange,20.0,"10,000,000","$200,000,000",2009-06-03,/market-activity/ipos/overview?dealId=798359-60418
6,"CYS Investments, Inc.",CYS,New York Stock Exchange,11.0,"9,100,000","$100,100,000",2009-06-12,/market-activity/ipos/overview?dealId=741637-54195
7,DUOYUAN GLOBAL WATER INC.,DGW,New York Stock Exchange,16.0,"5,500,000","$88,000,000",2009-06-24,/market-activity/ipos/overview?dealId=805839-61197
8,Chemspec International Ltd,CPC,New York Stock Exchange,9.0,"8,087,000","$72,783,000",2009-06-24,/market-activity/ipos/overview?dealId=805489-61132
9,"Medidata Solutions, Inc.",MDSO,Nasdaq National Market,14.0,"6,300,000","$88,200,000",2009-06-25,/market-activity/ipos/overview?dealId=796438-60220
10,Invesco Mortgage Capital Inc.,IVR,New York Stock Exchange,20.0,"8,500,000","$170,000,000",2009-06-26,/market-activity/ipos/overview?dealId=780830-58643
11,"MacroShares Housing Depositor, LLC",DMM,New York Stock Exchange,30.0,"26,150,000","$784,500,000",2009-06-30,/market-activity/ipos/overview?dealId=780342-58591
12,"MacroShares Housing Depositor, LLC",UMM,New York Stock Exchange,20.0,"17,250,000","$345,000,000",2009-06-30,/market-activity/ipos/overview?dealId=780342-58590
13,"LogMeIn, Inc.",LOGM,Nasdaq National Market,16.0,"6,666,667","$106,666,672",2009-07-01,/market-activity/ipos/overview?dealId=767160-57366
14,Territorial Bancorp Inc.,TBNK,Nasdaq National Market,10.0,"10,637,500","$106,375,000",2009-07-13,/market-activity/ipos/overview?dealId=792225-59700
15,"Recon Technology, Ltd",RCON,Nasdaq SmallCap Market,6.0,"1,700,000","$10,200,000",2009-07-30,/market-activity/ipos/overview?dealId=785247-59113
16,PennyMac Mortgage Investment Trust,PMT,New York Stock Exchange,20.0,"16,000,000","$320,000,000",2009-07-30,/market-activity/ipos/overview?dealId=805446-61123
17,GLOBE SPECIALTY METALS INC,GSM,Nasdaq National Market,7.0,"14,000,000","$98,000,000",2009-07-30,/market-activity/ipos/overview?dealId=728726-58967
18,CDC Software CORP,CDCS,Nasdaq National Market,12.0,"4,800,000","$57,600,000",2009-08-06,/market-activity/ipos/overview?dealId=808556-61553
19,Avago Technologies LTD,AVGO,Nasdaq National Market,15.0,"43,200,000","$648,000,000",2009-08-06,/market-activity/ipos/overview?dealId=786169-59170
20,CUMBERLAND PHARMACEUTICALS INC,CPIX,Nasdaq National Market,17.0,"5,000,000","$85,000,000",2009-08-11,/market-activity/ipos/overview?dealId=109945-54387
21,"Change Healthcare Holdings, Inc.",EM,New York Stock Exchange,15.5,"23,700,000","$367,350,000",2009-08-12,/market-activity/ipos/overview?dealId=787529-59298
22,"STARWOOD PROPERTY TRUST, INC.",STWD,New York Stock Exchange,20.0,"40,500,000","$810,000,000",2009-08-12,/market-activity/ipos/overview?dealId=806124-61238
23,"Vivakor, Inc.",VIVK,OTCBB,0.23,"15,000,000","$3,450,000",2009-09-03,/market-activity/ipos/overview?dealId=792917-61787
