share_price,shares_offered,dollar_value_of_shares,date_of_priced,employees,shares_outstanding,stock_valuation,sicdescription,ebit,grossprofit,netincome,totalrevenue,costofrevenue,totalassets,revenue_growth,1,2,3,4,5
10.5,13500000.0,141750000.0,2009-04-15,2971,53139723.0,557967091.5,1,33420000.0,155468000.0,26431000.0,218290000.0,62822000.0,129246000.0,1.5468737238796393,11.1,12.05,12.01,11.65,11.0
6.0,1700000.0,10200000.0,2009-07-30,96,3951811.0,23710866.0,2,2436607.0,3789779.0,1691949.0,9592261.0,5802482.0,8933083.0,0.2625411265661724,27.85,29.75,32.35,37.05,45.7
17.0,5000000.0,85000000.0,2009-08-11,59,17091191.0,290550247.0,3,7282221.0,32029488.0,4766249.0,35075160.0,3045672.0,31119187.0,0.2498458411716335,16.83,17.0,17.045,17.01,16.8
10.0,30000000.0,300000000.0,2009-09-25,21700,156092873.0,1560928730.0,4,196408000.0,361521000.0,22441000.0,2153362000.0,1791841000.0,2562425000.0,0.08118630332595927,10.09,10.45,10.09,10.07,10.0
14.0,5700000.0,79800000.0,2009-10-02,553,21493655.0,300911170.0,5,4945195.0,43090276.0,2875556.0,202807631.0,159717355.0,45909023.0,1.1245080490212829,14.06,14.0,14.0,13.51,12.98
22.0,85250000.0,1875500000.0,2009-10-07,3731,113076100.0,2487674200.0,6,310542000.0,506653000.0,158228000.0,893550000.0,386897000.0,928877000.0,0.11388128821545886,27.22,26.6,26.4,26.25,27.19
12.5,8700000.0,108750000.0,2009-10-08,2000,26458778.0,330734725.0,7,16358000.0,54831000.0,7439000.0,152268000.0,97437000.0,119822000.0,0.2456377156600486,12.58,12.65,12.7,12.85,13.27
8.0,3125000.0,25000000.0,2009-10-20,78,11479826.0,91838608.0,8,8663258.0,9836576.0,6108471.0,55430819.0,45594243.0,17304329.0,0.9302272003681692,7.2,7.5,7.55,7.31,6.725
10.0,5400000.0,54000000.0,2009-10-28,12578,10496251.0,104962510.0,9,10848000.0,69052000.0,4023000.0,236306000.0,167254000.0,135748000.0,0.21452250381616614,8.49,9.0,9.15,8.64,8.47
25.0,38000000.0,950000000.0,2009-11-05,45000,38034407.0,950860175.0,10,279000000.0,2228000000.0,113000000.0,3835000000.0,1607000000.0,6119000000.0,0.025949705724986626,28.0,28.0,28.9,29.3,29.24
10.0,12300000.0,123000000.0,2009-11-06,2100,41349710.0,413497100.0,11,70389000.0,113931000.0,28105000.0,288578000.0,174647000.0,620922000.0,0.6580749695479304,39.3,34.8,35.34,35.49,37.8
21.0,34100000.0,716100000.0,2009-11-13,77200,340644825.0,7153541325.0,12,255392000.0,2643469000.0,-12816000.0,9495246000.0,6851777000.0,8656431000.0,0.03548858418407685,22.73,23.1,23.04,22.55,22.87
12.5,12500000.0,156250000.0,2009-11-18,1196,64393969.0,804924612.5,13,4927000.0,146319000.0,7363000.0,211791000.0,65472000.0,199105000.0,0.3631746971666903,8.31,8.45,8.47,8.45,8.51
6.3,3134921.0,19750002.0,2010-01-26,128,9134921.0,57550002.3,14,9495218.0,14076350.0,6417037.0,124277622.0,110201272.0,41625380.0,0.5694262590368916,5.77,6.07,6.16,6.15,6.154
