share_price,shares_offered,dollar_value_of_shares,date_of_priced,employees,shares_outstanding,stock_valuation,sicdescription,ebit,grossprofit,netincome,totalrevenue,costofrevenue,totalassets,revenue_growth,1,2,3,4,5
18.0,31600000.0,568800000.0,2010-03-11,9500,171159377.0,3080868786.0,15,58489000.0,392864000.0,-27681000.0,1134944000.0,742080000.0,3166870000.0,-0.2022352573181833,18.5,18.14,17.9,17.9,18.15
13.0,6328932.0,82276116.0,2010-03-24,407,36297532.0,471867916.0,16,-19327000.0,76644000.0,-22441000.0,232947000.0,156303000.0,241116000.0,-0.06993448134055727,15.1,14.25,13.62,13.25,13.69
14.0,6444100.0,90217400.0,2010-03-24,177,6444100.0,90217400.0,17,4592000.0,34303000.0,4329000.0,51350000.0,17047000.0,35773000.0,0.6389518368389135,18.7,18.04,18.62,18.7,18.25
12.25,9000000.0,110250000.0,2010-03-26,6181,235618079.0,2886321467.75,10,11193000.0,37457000.0,6232000.0,184589000.0,147132000.0,231599753.0,0.6479594858495678,3.48,3.69,3.62,3.75,4.0
15.0,10725000.0,160875000.0,2010-03-31,1253,69191228.0,1037868420.0,18,67103000.0,133175000.0,19018000.0,270915000.0,137740000.0,1185641000.0,-0.03246716141796961,7.54,7.56,7.53,7.65,7.55
12.0,4096694.0,49160328.0,2010-04-22,292,10920939.0,131051268.0,18,1881000.0,26031000.0,1162000.0,37746000.0,11715000.0,21919000.0,0.2296315600873049,6.8,6.96,6.93,6.73,6.64
13.0,6000000.0,78000000.0,2010-04-22,290,33977068.0,441701884.0,19,-18366000.0,66230000.0,-20289000.0,82908000.0,16678000.0,99036000.0,0.6424581005586593,13.26,14.04,14.45,14.3,13.88
18.0,5085985.0,91547730.0,2010-04-29,855,22087485.0,397574730.0,17,-1150000.0,38566000.0,-901000.0,185076000.0,146510000.0,160365000.0,-0.2538160706366165,17.7,17.91,17.9,17.33,16.7
11.25,10000000.0,112500000.0,2010-05-05,562,21256253.0,239132846.25,20,29439000.0,57078000.0,9843000.0,174342000.0,117264000.0,404619000.0,-0.032014124858418286,11.29,11.49,11.5,11.55,11.5
17.0,16000000.0,272000000.0,2010-05-13,17000,88735895.0,1508510215.0,21,3914000.0,456992000.0,-17648000.0,1737010000.0,1280018000.0,860413000.0,-0.03303149838616837,16.75,15.86,16.01,15.6,14.85
14.0,10600644.0,148409016.0,2010-05-13,925,29542563.0,413595882.0,5,13740000.0,104464000.0,-23000.0,483322000.0,378858000.0,333281000.0,-0.14593387252675796,343.75,346.25,350.0,348.0,351.75
11.0,5835000.0,64185000.0,2010-05-14,2640,86927850.0,956206350.0,17,17939451.0,33720824.0,12510566.0,229655719.0,195934895.0,293171000.0,-0.2824092980441024,11.01,10.74,10.25,9.74,8.47
6.0,4600000.0,27600000.0,2010-05-28,63,11723512.0,70341072.0,22,-20438000.0,-3333000.0,-19963000.0,999000.0,4332000.0,19333477.0,0.5438299345379018,5.4,5.0,4.88,4.95,4.95
29.0,11700000.0,339300000.0,2010-06-15,597,13917911.0,403619419.0,23,177585000.0,395356000.0,106451000.0,426082000.0,30726000.0,571948000.0,0.022311370665310245,32.49,32.07,31.5,31.01,32.04
10.0,8500000.0,85000000.0,2010-06-25,5400,33743709.0,337437090.0,24,33692000.0,58041000.0,31304000.0,441099000.0,383058000.0,288085000.0,-0.1369580784898395,10.75,10.76,10.76,10.7,10.67
17.0,13300000.0,226100000.0,2010-06-29,646,93109393.0,1582859681.0,25,-51897000.0,9535000.0,-55740000.0,111943000.0,102408000.0,130424000.0,6.59347442680776,4.78,4.77,4.39,3.84,3.22
10.0,8696820.0,86968200.0,2010-07-22,649,22403276.0,224032760.0,26,25293852.0,79700056.0,19907148.0,428516589.0,348816533.0,375544608.0,0.08251244741968819,10.17,10.06,9.93,10.0,10.0
9.0,7000000.0,63000000.0,2010-07-29,450,30795117.0,277156053.0,27,704000.0,53300000.0,-872000.0,77924000.0,24624000.0,74064000.0,-0.15154286709784195,10.23,10.06,10.5,10.17,10.03
10.0,10677207.0,106772070.0,2010-08-05,10361,21354414.0,213544140.0,1,14465000.0,55643000.0,20248000.0,107912000.0,52269000.0,537922000.0,0.4483276963547537,277.5,253.5,232.5,250.5,254.7
14.0,34000000.0,476000000.0,2010-08-06,27539,249251500.0,3489521000.0,17,-931000000.0,898000000.0,-153000000.0,3519000000.0,2621000000.0,8579000000.0,-0.3105407523510972,14.0,14.0,13.6,12.75,12.39
11.0,12300000.0,135300000.0,2010-08-12,1260,62305404.0,685359444.0,18,6929000.0,82389000.0,28429000.0,140902000.0,58513000.0,142113000.0,0.2517056357046408,14.52,15.0,16.25,16.21,16.75
14.0,5000000.0,70000000.0,2010-08-12,757,34134002.0,477876028.0,28,-10617630.0,24990733.0,-7348216.0,68551701.0,43560968.0,37898160.0,0.7884176027580864,26.45,25.12,24.67,31.95,32.79
4.0,1700000.0,6800000.0,2010-08-13,70,7887885.0,31551540.0,29,2455609.0,9658586.0,1332906.0,12998627.0,3340041.0,11461098.0,0.4851960020241932,3.98,3.8,3.85,3.79,3.72
12.0,2200000.0,26400000.0,2010-08-26,52,2200000.0,26400000.0,30,8206000.0,19694000.0,1342000.0,32685000.0,12991000.0,182000000.0,0.047562578122496084,11.5,11.51,11.61,11.64,11.68
20.5,27500000.0,563750000.0,2011-01-13,100,35034840.0,718214220.0,30,42422000.0,85540000.0,0.0,117748000.0,32208000.0,1117357000.0,0.0458493951290569,21.25,21.31,21.37,21.25,21.21
5.5,3000000.0,16500000.0,2011-01-25,226,14812500.0,81468750.0,3,13315052.0,16175443.0,13142085.0,32364975.0,16189532.0,28196274.0,0.4066816495509764,0.018000000000000002,0.0191,0.034,0.034,0.026000000000000002
23.0,71428572.0,1642857156.0,2011-01-26,34000,347629277.0,7995473371.0,27,730000000.0,2997000000.0,130000000.0,5126000000.0,2129000000.0,14429000000.0,0.06613976705490847,25.0,25.4,25.0,26.07,25.75
11.0,28571428.0,314285708.0,2011-01-28,5757,115846386.0,1274310246.0,31,-38067000.0,52799000.0,-44791000.0,426267000.0,373468000.0,1320444000.0,0.3592567673140882,12.0,12.6,13.0,12.85,12.97
30.0,126200000.0,3786000000.0,2011-03-10,194000,515205100.0,15456153000.0,32,4042000000.0,23074000000.0,1207000000.0,28035000000.0,4961000000.0,23852000000.0,0.047019719151478935,31.02,31.12,30.91,31.34,31.25
13.0,10500000.0,136500000.0,2011-03-17,327,46636370.0,606272810.0,18,-12840000.0,29451000.0,-48370000.0,43731000.0,14280000.0,42894000.0,0.4914057704112953,19.07,18.25,18.19,18.06,17.94
10.0,11940133.0,119401330.0,2011-03-25,1536,65506343.0,655063430.0,27,1202000.0,62887000.0,-2567000.0,152935000.0,90048000.0,108103000.0,0.38182623152264267,12.18,11.53,11.83,12.43,12.18
20.0,35000000.0,700000000.0,2011-11-04,2416,635403352.0,12708067040.0,33,-420344000.0,270045000.0,-389640000.0,312941000.0,42896000.0,381570000.0,20.522764786795047,522.2,519.4,498.0,480.4,488.2
12.0,12500000.0,150000000.0,2011-11-18,450,12500000.0,150000000.0,34,114942000.0,230188000.0,0.0,255472000.0,25284000.0,68342000.0,0.5705889585638756,12.0,11.98,12.2,12.0,12.0
17.0,17500000.0,297500000.0,2011-12-15,183,125000000.0,2125000000.0,35,72982000.0,217475000.0,86248000.0,242000000.0,24525000.0,1068160000.0,1.5058504359351381,362.0,376.0,365.0,379.0,396.6
17.0,10000000.0,170000000.0,2011-12-15,71,39555481.0,672443177.0,35,6887993.0,32759251.0,14621956.0,45126276.0,12367025.0,516103547.0,0.3102314818134996,1518.72,1517.6,1468.5,1509.79,1537.69
10.0,100000000.0,1000000000.0,2011-12-16,2789,100000000.0,1000000000.0,6,125472000.0,421407000.0,90595000.0,597459000.0,176052000.0,1112572000.0,3.918693966262442,9.5,9.05,9.24,9.47,9.47
10.0,7200000.0,72000000.0,2012-01-19,234,7200000.0,72000000.0,19,92732000.0,127211000.0,88869000.0,824031000.0,696820000.0,484447000.0,2.8069390866461847,10.1,9.73,9.49,9.85,9.82
13.0,8850000.0,115050000.0,2012-01-25,684,48892951.0,635608363.0,18,6871000.0,104128000.0,35558000.0,172472000.0,68344000.0,126540000.0,0.1920022668998072,17.12,17.43,17.83,18.05,18.03
15.0,7150000.0,107250000.0,2012-03-02,918,7150000.0,107250000.0,36,-16171000.0,77354000.0,-16668000.0,83285000.0,5931000.0,43821000.0,0.7448827805828497,24.58,20.99,20.5,20.25,20.0
23.0,26100000.0,600300000.0,2012-03-15,2800,181375783.0,4171643009.0,37,429000000.0,954500000.0,103000000.0,2162800000.0,1208300000.0,5192600000.0,0.12277423038986658,23.4,24.55,24.85,24.8,24.25
19.0,6000000.0,114000000.0,2012-03-15,667,45259684.0,859933996.0,17,45927000.0,131860000.0,-1016000.0,310295000.0,178435000.0,211268000.0,0.1920805848703596,20.55,21.75,22.0,21.5,21.17
11.0,6660000.0,73260000.0,2012-03-22,838,33366250.0,367028750.0,38,37746000.0,104294000.0,29052000.0,259671000.0,155377000.0,246317000.0,0.3062512890422605,11.11,11.01,11.16,11.2,11.96
19.0,8500000.0,161500000.0,2012-03-22,1133,64476784.0,1225058896.0,39,1237000000.0,3021000000.0,310000000.0,8190000000.0,5169000000.0,20897000000.0,0.2492373398413667,10.69,10.62,10.33,10.25,10.07
6.5,11004600.0,71529900.0,2012-03-23,2934,101138565.0,657400672.5,40,-106917828.0,43341542.0,-107271525.0,227142876.0,183801334.0,167435320.0,5.9713975289817744,41.22,40.64,41.59,42.01,42.41
16.0,5850000.0,93600000.0,2012-03-28,290,21740372.0,347845952.0,41,-806000.0,47996000.0,-2479000.0,79503000.0,31507000.0,49818000.0,0.3996267802756897,21.03,24.91,23.4,23.0,22.1
18.0,23684211.0,426315798.0,2012-03-29,7400,90524593.0,1629442674.0,42,217200000.0,592500000.0,-51300000.0,1674900000.0,1082400000.0,3099700000.0,0.10920529801324504,20.0,21.1,21.73,21.55,21.53
6.0,8969697.0,53818182.0,2012-03-30,313,39290870.0,235745220.0,17,-28712000.0,29069000.0,-32290000.0,149523000.0,120454000.0,106242000.0,1.4249201277955272,7.34,7.81,7.64,7.45,7.43
14.0,23500000.0,329000000.0,2012-03-30,72,62863166.0,880084324.0,43,24700879.0,53524758.0,13722678.0,66470819.0,12946061.0,607012704.0,0.6687884396237045,12.41,12.49,11.8,11.16,11.27
5.0,10000000.0,50000000.0,2012-05-01,71,23912319.0,119561595.0,3,-37752000.0,803000.0,53815000.0,803000.0,0.0,53730000.0,6.575471698113207,5.37,5.74,6.06,5.97,6.35
38.0,421233615.0,16006877370.0,2012-05-18,3539,633492418.0,24072711884.0,44,1756000000.0,2851000000.0,1000000000.0,3711000000.0,860000000.0,6331000000.0,0.8799392097264438,38.23,34.03,31.0,32.0,33.03
18.0,11650000.0,209700000.0,2012-06-29,728,120289770.0,2165215860.0,18,10560000.0,61066000.0,9830000.0,92641000.0,31575000.0,108746000.0,1.138083039073138,24.6,24.77,25.31,25.96,25.84
17.0,9615384.0,163461528.0,2012-07-19,2960,53964948.0,917404116.0,12,11804000.0,66143000.0,7023000.0,197189000.0,131046000.0,76582000.0,0.0,26.5,27.27,27.55,27.6,27.05
42.0,6200000.0,260400000.0,2012-07-20,692,66601444.0,2797260648.0,13,-10404000.0,86324000.0,-12528000.0,118597000.0,32273000.0,91172000.0,1.4311631339428477,53.13,51.51,55.5,58.95,59.88
13.0,5833333.0,75833329.0,2012-07-24,3954,15043428.0,195564564.0,45,9460000.0,25980000.0,3464000.0,130583000.0,104603000.0,105938000.0,0.3758903359042441,15.06,15.82,16.71,17.12,17.65
15.0,7142857.0,107142855.0,2012-07-25,1554,21803031.0,327045465.0,46,7411000.0,77382000.0,3504000.0,264544000.0,187162000.0,78915383.0,0.16585402601860913,17.86,19.25,19.9,20.0,20.28
12.0,8333333.0,99999996.0,2012-08-03,724,62503441.0,750041292.0,22,97362000.0,262682000.0,60784000.0,331478000.0,68796000.0,329390000.0,0.1501865056645674,13.5,13.56,13.5,13.45,13.51
11.0,16000000.0,176000000.0,2012-08-08,86000,119906167.0,1318967837.0,45,213452000.0,631045000.0,100005000.0,3841264000.0,3210219000.0,3353936000.0,0.05869904999246201,27.01,27.22,26.08,27.18,27.0
0.04,93602221.0,3744089.0,2012-08-22,21,841527668.0,33661106.72,22,-4627681.0,795109.0,-4778541.0,971367.0,176258.0,3571640.0,2.0695749723495025,1.95,2.7,2.7,2.55,2.85
12.0,7575000.0,90900000.0,2012-09-28,334,30050974.0,360611688.0,18,2906000.0,62965000.0,1954000.0,76212000.0,13247000.0,68789000.0,0.16475119207727107,14.16,13.95,13.69,13.51,13.6
10.0,8000000.0,80000000.0,2012-10-03,1449,8000000.0,80000000.0,47,64100000.0,120400000.0,40300000.0,510800000.0,390400000.0,364300000.0,0.2684380432083437,11.0,11.28,11.02,10.76,10.42
16.0,29411764.0,470588224.0,2012-10-04,15000,112600136.0,1801602176.0,48,42000000.0,653000000.0,-299000000.0,4561000000.0,3908000000.0,5217000000.0,0.0714117923420249,15.2,15.0,14.75,14.55,14.16
6.0,6000000.0,36000000.0,2012-10-10,425,25909462.0,155456772.0,17,15477000.0,60239000.0,13929000.0,94739000.0,34500000.0,64133000.0,0.32455784690667605,6.06,6.08,6.23,6.15,6.01
17.0,4500000.0,76500000.0,2012-10-11,224,32838281.0,558250777.0,6,22890000.0,74767000.0,21864000.0,120271000.0,45504000.0,24855000.0,0.4495197232834778,21.66,22.0,22.95,23.04,23.08
27.0,40000000.0,1080000000.0,2012-10-11,10900,130153234.0,3514137318.0,49,270000000.0,891000000.0,-441000000.0,4093000000.0,3202000000.0,7350000000.0,0.0007334963325183374,34.2,33.6,33.5,35.74,37.49
17.5,12500000.0,218750000.0,2012-10-12,54,35111532.0,614451810.0,35,15147000.0,37500000.0,-386000.0,49366000.0,11866000.0,263578000.0,0.811396910431879,17.5,17.75,17.79,17.7,17.7
26.0,20500000.0,533000000.0,2012-12-13,1578,20500000.0,533000000.0,50,305690000.0,1105175000.0,242671000.0,14960338000.0,13855163000.0,3621109000.0,70.01280195185859,26.25,27.02,28.04,27.87,27.6
18.0,11000000.0,198000000.0,2013-01-15,227,15048588.0,270874584.0,39,20842000.0,80991000.0,4503000.0,118787000.0,37796000.0,872645000.0,0.20327188006482985,17.6,17.57,17.5,17.4,17.87
19.0,16500000.0,313500000.0,2013-01-18,250,19413165.0,368850135.0,30,16300000.0,144800000.0,-20300000.0,220800000.0,76000000.0,1210900000.0,0.2151898734177216,21.2,22.12,22.6,22.01,21.86
19.0,23529412.0,447058828.0,2013-01-18,14072,200468080.0,3808893520.0,43,357093000.0,797813000.0,168556000.0,2276246000.0,1478433000.0,5938427000.0,0.0256483505788249,24.79,26.95,27.49,27.35,27.35
22.0,10100000.0,222200000.0,2013-01-25,22000,62871119.0,1383164618.0,51,95464000.0,245770000.0,8162000.0,1070938000.0,825168000.0,1916108000.0,0.0998633050597668,28.32,28.25,28.75,28.63,28.0
17.0,13689000.0,232713000.0,2013-01-31,53,31597907.0,537164419.0,52,98715000.0,258371000.0,61481000.0,1070306000.0,811935000.0,217516000.0,54.37306637694656,19.05,19.0,18.4,18.18,18.16
26.0,86100000.0,2238600000.0,2013-02-01,9500,86100000.0,2238600000.0,3,695000000.0,2773000000.0,436000000.0,4336000000.0,1563000000.0,6262000000.0,0.024332624616111503,31.01,31.02,31.04,31.03,32.0
21.0,11764706.0,247058826.0,2013-02-06,4470,41464706.0,870758826.0,53,63131000.0,375617000.0,41496000.0,2779062000.0,2403445000.0,827784000.0,0.2361891527377932,52.99,55.61,57.5,60.06,61.93
18.0,5300000.0,95400000.0,2013-02-07,155,12798272.0,230368896.0,54,-8072000.0,12143000.0,-10168000.0,28657000.0,16514000.0,33075000.0,0.8742315238718117,28.47,27.33,31.41,32.55,35.69
22.0,28572000.0,628584000.0,2013-04-10,1041,28572000.0,628584000.0,52,94376000.0,206641000.0,0.0,1041182000.0,834541000.0,2738056000.0,-0.2401168599614505,23.04,24.01,24.3,23.45,23.75
20.0,25263159.0,505263180.0,2013-04-12,1660,79096144.0,1581922880.0,6,79646000.0,182824000.0,77366000.0,342490000.0,159666000.0,977745000.0,0.06654168820572866,20.44,20.03,20.54,19.79,19.54
27.0,26000000.0,702000000.0,2013-04-19,22100,92737008.0,2503899216.0,55,222716000.0,574611000.0,74221000.0,1423752000.0,849141000.0,2521052000.0,0.0698676108790824,33.52,32.92,32.85,32.47,33.2
8.9,3500000.0,31150000.0,2013-05-01,182,3500000.0,31150000.0,3,1749000.0,52128000.0,4021000.0,53482000.0,1355000.0,69311000.0,0.15879791129504042,8.98,9.09,9.04,8.98,8.91
17.0,12500000.0,212500000.0,2013-05-03,1013,12500000.0,212500000.0,27,48634000.0,113171000.0,26443000.0,291719000.0,178548000.0,612439000.0,0.1486628026019436,17.08,17.0,16.78,16.81,16.9
11.5,16525000.0,190037500.0,2013-05-08,100,16698913.0,192037499.5,56,24691000.0,40832000.0,8897000.0,108482000.0,67650000.0,331813000.0,-0.16667690889537565,11.58,11.55,11.6,11.65,11.53
14.0,5750000.0,80500000.0,2013-05-23,432,20471561.0,286601854.0,18,-3849000.0,38838000.0,-4933000.0,53587000.0,14749000.0,48022000.0,0.2299058985540509,18.44,18.69,17.78,17.0,17.07
15.0,22222222.0,333333330.0,2013-05-23,8845,101811560.0,1527173400.0,57,347000000.0,625000000.0,186000000.0,4759000000.0,4135000000.0,2150000000.0,0.030979202772963607,14.11,14.23,14.94,15.43,16.75
9.25,5582636.0,51639383.0,2013-05-31,292,34306634.0,317336364.5,3,4238000.0,22693000.0,260000.0,72675000.0,49982000.0,89114000.0,0.22177765075735925,10.1,10.54,10.21,9.92,9.82
14.0,16000000.0,224000000.0,2013-07-19,31,25229818.0,353217452.0,30,5100000.0,22167000.0,-8957000.0,31417000.0,9250000.0,420496000.0,0.20090975115630136,14.04,14.0,14.09,14.02,14.03
18.0,18500000.0,333000000.0,2013-08-01,13600,143658944.0,2585860992.0,46,70685000.0,530309000.0,19500000.0,1794823000.0,1264514000.0,1103236000.0,0.6229831654276824,40.11,39.98,41.13,39.77,39.3
12.0,4750000.0,57000000.0,2013-08-02,109,18267515.0,219210180.0,58,-23838000.0,2807000.0,-38794000.0,7140000.0,4333000.0,33778000.0,0.35974100171395923,13.75,13.55,13.54,13.25,13.248
15.0,8571429.0,128571435.0,2013-08-08,545,36317087.0,544756305.0,59,26154000.0,62829000.0,14210000.0,235869000.0,173040000.0,142120000.0,0.19282994249996208,18.61,18.5,18.08,17.53,17.31
22.0,30000000.0,660000000.0,2013-08-09,4100,149024000.0,3278528000.0,2,361520000.0,613447000.0,260919000.0,1039054000.0,425607000.0,1107961000.0,0.4443100754505068,26.36,26.5,26.09,26.1,26.38
26.5,4935000.0,130777500.0,2013-09-18,800,24312049.0,644269298.5,18,-12802000.0,37339000.0,-14873000.0,81739000.0,44400000.0,58226000.0,0.18836049605280367,53.55,50.3,50.91,49.57,47.95
20.0,15175000.0,303500000.0,2013-09-20,932,117470849.0,2349416980.0,13,-33619000.0,65686000.0,-35756000.0,83316000.0,17630000.0,125273000.0,1.4753698972012597,36.0,37.45,37.01,38.8,41.63
10.0,3600000.0,36000000.0,2013-09-26,927,12604334.0,126043340.0,17,179000.0,18929000.0,-945000.0,63421000.0,44492000.0,65748000.0,0.3256897993311037,9.96,10.1,10.0,10.0,9.97
13.0,7500000.0,97500000.0,2013-09-27,399,7500000.0,97500000.0,6,-33827000.0,69623000.0,-35390000.0,114526000.0,44903000.0,63354000.0,0.45195684420046395,18.2,18.02,17.08,17.0,16.91
13.0,71500000.0,929500000.0,2013-10-02,629,90524236.0,1176815068.0,30,88689000.0,154589000.0,0.0,260294000.0,105705000.0,1052553000.0,-0.11701290418877296,13.1,13.2,13.15,13.29,13.28
17.0,13333333.0,226666661.0,2013-10-02,29556,71632530.0,1217753010.0,60,146523000.0,1524067000.0,-6272000.0,3887531000.0,2363464000.0,2501143000.0,0.0503749031703912,25.01,24.86,25.89,26.77,25.9
14.0,7500000.0,105000000.0,2013-10-04,5000,28006535.0,392091490.0,45,8565000.0,85572000.0,24046000.0,274914000.0,189342000.0,126699000.0,0.1552658783187514,30.77,32.4,30.22,30.66,29.32
21.0,12250000.0,257250000.0,2013-10-09,415,27002274.0,567047754.0,30,15515000.0,90621000.0,-9767000.0,145759000.0,55138000.0,685443000.0,0.11781803122795174,21.0,21.19,21.8,21.6,21.76
44.0,35725000.0,1571900000.0,2013-10-10,184,260100000.0,11444400000.0,35,444015000.0,638381000.0,-285069000.0,735718000.0,97337000.0,3618793000.0,0.06417126995905131,52.01,53.3,55.64,57.06,57.56
20.0,13045000.0,260900000.0,2013-10-16,593,13045000.0,260900000.0,18,6638000.0,32206000.0,4230000.0,61262000.0,29056000.0,41414000.0,1.1031274674722784,37.16,41.6,44.39,46.24,42.95
17.0,21045148.0,357767516.0,2013-10-16,4500,111631667.0,1897738339.0,6,-3286000.0,153336000.0,6176000.0,207640000.0,54304000.0,637997000.0,-0.3608441634396951,9.83,10.0,10.3,10.16,9.85
13.0,6500000.0,84500000.0,2013-10-18,87,6500000.0,84500000.0,54,887000.0,4949000.0,280000.0,11485000.0,6535000.0,14157000.0,0.21908502282135656,144.0,177.15,165.95,147.65,168.75
15.0,38461537.0,576923055.0,2013-10-25,12500,185653830.0,2784807450.0,8,238238000.0,1060681000.0,5353000.0,3321885000.0,2261204000.0,4793264000.0,0.014172962470637731,14.99,14.88,15.25,15.43,15.28
18.0,8500000.0,153000000.0,2013-10-25,400,10071970.0,181295460.0,14,7456000.0,121555000.0,-12831000.0,4043907000.0,3922352000.0,1054247000.0,0.06490710683839347,17.75,17.45,17.5,17.51,17.36
31.0,8082580.0,250559980.0,2013-10-30,746,55298218.0,1714244758.0,33,11794000.0,133800000.0,1096000.0,358416000.0,224616000.0,180793000.0,0.9231730939490359,35.39,35.31,34.1,34.46,33.98
20.0,41250000.0,825000000.0,2013-10-30,475,223492460.0,4469849200.0,30,224693000.0,814236000.0,-122567000.0,1088254000.0,274018000.0,9603729000.0,-0.022567317537588245,20.4,20.65,20.78,20.94,20.61
13.0,5000000.0,65000000.0,2013-10-30,107,20989890.0,272868570.0,61,-18929000.0,4044000.0,-18649000.0,11628000.0,7584000.0,19067000.0,3.396219281663516,13.25,12.39,12.3,12.8,12.4
12.0,6000000.0,72000000.0,2013-10-31,513,35700897.0,428410764.0,49,49008000.0,155468000.0,27934000.0,385716000.0,230248000.0,89733000.0,0.4041098633079121,13.42,13.91,14.02,13.59,13.92
18.0,12500000.0,225000000.0,2013-11-01,5375,46047915.0,828862470.0,62,-6418000.0,367264000.0,-30671000.0,633619000.0,266355000.0,746678000.0,0.11391828698006401,36.2,35.35,35.35,35.9,35.31
16.5,7700000.0,127050000.0,2013-11-06,452,36601064.0,603917556.0,44,-14961000.0,34443000.0,-14972000.0,43676000.0,9233000.0,16055000.0,0.7754471544715447,16.31,16.56,17.3,17.94,17.55
26.0,70000000.0,1820000000.0,2013-11-07,2300,544696816.0,14162117216.0,44,-77083000.0,188165000.0,-79399000.0,316933000.0,128768000.0,831568000.0,1.9811311880955291,44.9,41.65,42.9,41.9,42.6
11.0,9000000.0,99000000.0,2013-11-07,191,19413449.0,213547939.0,52,8325000.0,21690000.0,9705000.0,76221000.0,54531000.0,45556151.0,0.5106381760054308,12.9,13.04,13.26,12.72,13.05
12.5,15000000.0,187500000.0,2013-11-13,613,81728265.0,1021603312.5,1,-47849000.0,67665000.0,-49043000.0,213334000.0,145669000.0,196367000.0,0.2401841667732447,9.68,8.88,9.13,9.0,8.72
20.0,28250000.0,565000000.0,2013-11-13,10400,200450000.0,4009000000.0,10,284272000.0,517827000.0,20732000.0,1011462000.0,493635000.0,4491734000.0,0.07290968338693664,23.87,23.5,23.85,23.8,23.41
12.0,18250000.0,219000000.0,2013-11-14,3300,139955578.0,1679466936.0,63,-120687000.0,454217000.0,-236253000.0,1285641000.0,831424000.0,3029584000.0,-0.007453128437923407,15.86,16.11,15.78,16.24,17.66
14.75,5000000.0,73750000.0,2013-11-21,187,24069577.0,355026260.75,58,-3126000.0,7520000.0,-2522000.0,17072000.0,9552000.0,64855000.0,0.14569491980404,17.23,16.74,17.02,16.76,17.34
5.0,3000000.0,15000000.0,2013-11-22,10,6200357.0,31001785.0,64,-3038307.0,3043.0,-4647219.0,1126907.0,1123864.0,3207003.0,0.30918327871175955,53.5,69.0,69.6,69.5,70.0
